"Datum","SAP.DE","SIE.DE","BAYN.DE","BAS.DE","ALV.DE","DAI.DE","DTE.DE","ADS.DE","BMW.DE","VOW3.DE"
"07-03-2018",84.2939,97.017189,88.682053,78.044899,173.224609,60.181522,11.989142,167.588364,77.149124,147.517593
"08-03-2018",85.441414,98.039009,89.019951,78.662621,174.400131,60.208134,12.07569,168.164261,77.24913,148.198441
"09-03-2018",85.956825,98.18763,89.33049,78.358368,174.510345,60.24361,12.04836,166.724487,77.394585,148.349747
"12-03-2018",85.937378,99.209457,89.458366,78.791695,174.400131,60.598404,12.071135,164.708817,77.921883,149.957321
"13-03-2018",85.013527,97.63028,87.704788,77.3442,170.634766,60.05735,11.934481,162.213226,76.94001,146.118073
"14-03-2018",84.838486,97.834641,87.32122,76.800247,169.991913,59.871086,11.952701,180.354233,76.521812,148.179535
"15-03-2018",85.480324,98.652092,86.618027,77.473274,173.187866,60.527447,11.980032,185.249451,77.385498,152.245728
"16-03-2018",84.945457,99.543869,87.257278,78.127876,173.500107,61.352333,12.2169,186.305267,78.05825,153.304825
"19-03-2018",83.428398,97.871803,85.549446,77.076828,170.616409,60.784672,12.089356,184.769516,77.430946,150.865097
"20-03-2018",83.049133,98.299103,86.060905,77.842072,173.757263,60.917721,12.021028,186.83316,78.176437,152.529404
"21-03-2018",83.486748,98.577789,86.188705,78.164757,173.298065,60.873371,11.970922,190.192596,78.276443,151.772903
"22-03-2018",82.806023,95.921051,84.964951,76.071877,169.826599,59.454201,11.761385,189.088806,77.576416,149.389923
"23-03-2018",81.755745,94.230408,82.517273,74.74424,165.638794,58.336605,11.797827,187.745026,76.530907,145.323746
"26-03-2018",80.695755,93.245735,81.713554,74.522964,164.885712,58.123734,11.665728,185.249451,77.467316,146.326111
"27-03-2018",82.446205,94.564819,82.910019,76.06266,167.457184,58.957497,11.825157,186.353241,78.012794,147.952591
"28-03-2018",82.096107,95.029282,82.836891,74.882538,168.246979,58.806709,11.88893,185.201447,77.785507,146.571976
"29-03-2018",82.630974,96.162567,83.832436,76.035004,168.430664,61.174946,12.071135,188.752838,80.140167,152.605057
"03-04-2018",81.930794,94.75061,82.809517,75.500259,168.430664,60.811283,11.961811,187.457077,80.622009,153.55069
